epoch,total,render,bcs,crs,temp,clip,lr,time_s
51,0.120751,0.120013,0.000864,0.000000,0.001302,0.000000,1.00e-04,1309.7
52,0.120720,0.119993,0.000760,0.000000,0.001301,0.000000,9.98e-05,1434.4
53,0.120697,0.119974,0.000762,0.000000,0.001295,0.000000,9.90e-05,1166.4
54,0.120714,0.119985,0.000760,0.000000,0.001307,0.000000,9.78e-05,1172.9
55,0.120704,0.119983,0.000713,0.000000,0.001299,0.000000,9.61e-05,1316.6
56,0.120686,0.119966,0.000709,0.000000,0.001297,0.000000,9.40e-05,1292.7
57,0.120679,0.119952,0.000742,0.000000,0.001306,0.000000,9.14e-05,1161.9
58,0.120657,0.119933,0.000718,0.000000,0.001305,0.000000,8.84e-05,1337.7
59,0.120642,0.119928,0.000636,0.000000,0.001301,0.000000,8.51e-05,1544.5
60,0.120634,0.119922,0.000628,0.000000,0.001299,0.000000,8.15e-05,1462.1
61,0.120616,0.119908,0.000614,0.000000,0.001293,0.000000,7.75e-05,1628.1
62,0.120641,0.119927,0.000631,0.000000,0.001302,0.000000,7.33e-05,1404.7
63,0.120622,0.119911,0.000611,0.000000,0.001299,0.000000,6.89e-05,1299.2

