epoch,total,render,bcs,crs,temp,clip,lr,time_s
131,0.121797,0.121226,0.003660,0.000000,0.002054,0.000000,1.00e-03,1612.2
132,0.121097,0.120611,0.002525,0.000000,0.002331,0.000000,9.76e-04,1457.1
133,0.120998,0.120496,0.002431,0.000000,0.002587,0.000000,9.05e-04,1322.1
134,0.120594,0.120121,0.002041,0.000000,0.002693,0.000000,7.96e-04,1296.3
135,0.120311,0.119860,0.001770,0.000000,0.002736,0.000000,6.58e-04,1154.0
136,0.120100,0.119685,0.001376,0.000000,0.002767,0.000000,5.05e-04,1145.1
137,0.119787,0.119400,0.001112,0.000000,0.002753,0.000000,3.52e-04,1215.7
138,0.119577,0.119220,0.000781,0.000000,0.002787,0.000000,2.14e-04,1124.8
139,0.119283,0.118962,0.000403,0.000000,0.002808,0.000000,1.05e-04,1143.5
140,0.119147,0.118851,0.000167,0.000000,0.002791,0.000000,3.42e-05,1265.4
